,id,experiment_name,seed,profit_gain,t,actor_hidden_size,discount,deviation_profit_percent,deviation_type,differential_deviation_profit
0,0,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,250917,0.017129427595342334,10003,256,0.95,0.09977528485833147,nash,0.0005730711281719628
1,1,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,250917,0.017129427595342334,10003,256,0.95,0.14025847769141286,br,0.001790355798007658
2,2,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,250917,0.017129427595342334,10003,256,0.95,-3.126708301979867,coop,-0.08146855993995111
3,3,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,250917,0.017129427595342334,10003,256,0.95,-6.036910536865913,cost,-0.1622460607499323
4,4,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,50321,0.9207022412329702,10003,256,0.95,12.666467882557749,nash,29.31260643670134
5,5,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,50321,0.9207022412329702,10003,256,0.95,13.47209384702787,br,29.3494512080505
6,6,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,50321,0.9207022412329702,10003,256,0.95,-12.541517459898005,coop,-33.816128036899286
7,7,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,50321,0.9207022412329702,10003,256,0.95,7.733591268171555,cost,29.08252743298175
8,8,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,200722,0.9213960503631488,10003,256,0.95,3.3021463404513427,nash,0.14763205368950605
9,9,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,200722,0.9213960503631488,10003,256,0.95,19.336629029014244,br,31.008198133355616
10,10,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,200722,0.9213960503631488,10003,256,0.95,-14.2610846897781,coop,-40.784120409467164
11,11,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,200722,0.9213960503631488,10003,256,0.95,-1.5746906494191932,cost,-0.06556102591891752
12,12,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,190399,0.6099424297836611,10003,256,0.95,22.454086665900533,nash,0.8704183914230571
13,13,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,190399,0.6099424297836611,10003,256,0.95,22.54454714755744,br,0.8833476892800478
14,14,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,190399,0.6099424297836611,10003,256,0.95,-8.25169276345045,coop,-0.5211712993400648
15,15,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,190399,0.6099424297836611,10003,256,0.95,-1.9817245630108413,cost,-0.0569124949003069
16,16,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,40598,0.944708394505508,10003,256,0.95,12.753604017717793,nash,5.836410097768261
17,17,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,40598,0.944708394505508,10003,256,0.95,18.465920509122434,br,18.94137702112796
18,18,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,40598,0.944708394505508,10003,256,0.95,-9.77151623864643,coop,-18.582787019465297
19,19,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,40598,0.944708394505508,10003,256,0.95,7.455812209006588,cost,18.349664125172342
